epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,6.918641965738018,6.907781496429443,0.1,0.5
1,5.579906130675599,6.911699393005371,0.1,0.5
2,4.642444189218023,6.965238594055176,0.1,0.5
3,4.316330069784733,7.108133218688965,0.1,0.5
4,4.065720392312173,7.138887335510254,0.1,0.536
5,3.911818338336228,7.068386190490723,0.14,0.764
6,3.8117252452482138,6.830885800323486,0.472,1.804
7,3.740573156747124,5.8846269140625,4.512,13.008
8,3.6735380814611007,4.285647153167725,20.154,40.91
9,3.6423221505422005,3.1936368313598633,35.282,60.176
10,3.594764676549547,2.5783539170837404,45.2,70.184
11,3.561316099002969,2.20632614944458,51.648,76.116
12,3.5246833260777852,1.991035977859497,55.466,79.346
13,3.5016744265929876,1.8735833546447753,57.526,80.816
14,3.491066293226634,1.8009348107910157,58.918,81.748
15,3.4577255728338168,1.7443679443359374,59.894,82.556
16,3.436628583190348,1.7166398849487305,60.486,82.952
17,3.405909464990111,1.6901969715881349,60.976,83.364
18,3.397302781982864,1.6619937631225585,61.648,83.806
19,3.3796274037384015,1.6366129995727539,62.098,84.172
20,3.3515968413280546,1.6103159349822997,62.55,84.464
21,3.3374705832543894,1.591230304031372,62.902,84.816
22,3.311040090475913,1.57293956199646,63.342,85.036
23,3.3007995380009776,1.5576574335479736,63.736,85.258
24,3.2754297837269584,1.540310500793457,64.018,85.47
25,3.265119735476115,1.5272409020996094,64.318,85.716
26,3.25396984019916,1.5144739575195312,64.532,85.946
27,3.234310659430296,1.4990221659088134,64.898,86.206
28,3.2261319002754494,1.4908495599365235,65.004,86.2
29,3.203193838457219,1.485465661239624,65.2,86.286
30,3.199527218949785,1.475113586807251,65.378,86.454
31,3.1948428777672593,1.4676814717102051,65.556,86.496
32,3.176248449454014,1.4559834115600585,65.916,86.692
33,3.1701191891964484,1.4485443380737304,66.02,86.824
34,3.153280846030116,1.4381779625701905,66.134,86.912
35,3.1480090752494134,1.4307298113250733,66.246,87.144
36,3.132656863315119,1.4249621298217774,66.434,87.25
37,3.1284513610253613,1.422193800354004,66.476,87.366
38,3.125522532956682,1.4165096403503419,66.694,87.302
39,3.109081195031615,1.4092058966827392,66.792,87.39
40,3.1030866118262614,1.4038126443481445,66.938,87.46
41,3.0894304954176612,1.3950797746276855,67.102,87.6
42,3.089215930655515,1.3849221911621095,67.292,87.782
43,3.0855050638711137,1.3838840377807617,67.308,87.722
44,3.0715933602681456,1.3814338330078124,67.464,87.826
45,3.067859723270654,1.380610255203247,67.51,87.88
46,3.0532655606357504,1.3753063117218018,67.578,87.9
47,3.051294310535077,1.3736857355499268,67.594,87.934
48,3.036579991368462,1.3665369538879395,67.772,87.998
49,3.0348885949376485,1.3611088111114502,67.918,88.064
50,3.0334063141847207,1.3584520612335205,68.066,88.084
51,3.01871353535534,1.355385610809326,68.044,88.118
52,3.0153893078926752,1.3507792686462403,68.21,88.212
53,3.002933986133618,1.3454731391906738,68.228,88.32
54,3.0007918860605485,1.343196857070923,68.256,88.306
55,3.000100777684737,1.3379109903717041,68.53,88.324
56,2.9886586441696403,1.3334546390533448,68.536,88.416
57,2.984522739140917,1.3286880181121825,68.642,88.528
58,2.973523681207622,1.3236780743408203,68.882,88.626
59,2.9728108973716565,1.3178996061706543,68.912,88.648
60,2.960493412854479,1.3170498693847656,68.988,88.644
61,2.95828630760324,1.3179910311889649,68.9,88.66
62,2.9568332755308355,1.3125145448303224,68.946,88.754
63,2.946197362540723,1.3058940383911133,69.26,88.756
64,2.94345811740767,1.3039389239501953,69.27,88.828
65,2.933161740728038,1.3017520108795166,69.332,88.896
66,2.9321950833193307,1.3003383726501465,69.33,88.91
67,2.9313223406279403,1.2972029592895509,69.338,88.924
68,2.918492661629745,1.2958213648223877,69.326,88.89
69,2.918048355647986,1.293800170135498,69.354,88.862
70,2.907576597137131,1.290223596801758,69.42,89.03
71,2.9067780897199964,1.2854581161499024,69.662,89.144
72,2.8931136261359107,1.2857541718292236,69.666,89.134
73,2.8938330155577687,1.2847472161102296,69.626,89.066
74,2.8945171583851845,1.279819910736084,69.836,89.11
75,2.880537649758047,1.2764675193023682,69.978,89.182
76,2.8843754326506295,1.2731436657714843,70.098,89.28
77,2.8729102640129107,1.269843159790039,70.14,89.378
78,2.8672870291318064,1.2668274082946778,70.124,89.352
79,2.8684872886736237,1.2624287159729004,70.284,89.362
80,2.8585827074748433,1.2582260102844238,70.266,89.448
81,2.8554285555053576,1.2578554657745362,70.286,89.542
82,2.846503871807949,1.256514631576538,70.298,89.614
83,2.8442904449385895,1.2565653709411622,70.336,89.548
84,2.8364434072630202,1.2558622569274902,70.458,89.526
85,2.8359828213517138,1.2545172525024415,70.478,89.486
86,2.834657156734253,1.2513811222839355,70.552,89.57
87,2.8252013661116244,1.2494909035491943,70.482,89.472
88,2.8250967202712594,1.2473837405395507,70.542,89.584
89,2.813890416845143,1.244209384841919,70.534,89.64
90,2.814025712289589,1.244345570373535,70.578,89.746
91,2.8131432414626616,1.2440401231384277,70.744,89.712
92,2.8035625464243474,1.241327369003296,70.698,89.73
93,2.802070220502065,1.237916117477417,70.764,89.804
94,2.795661379726861,1.2367332861328124,70.694,89.782
95,2.7935586175282032,1.235141399536133,70.902,89.798
96,2.7847437116263105,1.2321733210754395,70.96,89.846
97,2.785011721696023,1.2299519413757325,70.974,89.942
98,2.782046581582009,1.2275821170043946,71.036,89.888
99,2.7736432994965265,1.227075489807129,71.134,90.002
100,2.773762873560786,1.2253816306304932,71.148,89.994
