epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,6.918991760765429,6.907778897705078,0.1,0.5
1,5.676899377676508,6.911700895996094,0.1,0.5
2,4.619737282931376,6.951326147766113,0.1,0.542
3,4.19956898765503,7.053978470611573,0.1,0.506
4,3.911739519555315,7.136600486755371,0.234,0.532
5,3.7397983970878412,7.029574241790772,0.154,0.91
6,3.631131249794857,6.518942248687744,1.436,4.7
7,3.5507646553236234,4.9368197763061525,12.546,29.1
8,3.473928253427684,3.2913186209106446,33.716,58.674
9,3.4277446729769045,2.439181610031128,47.298,72.434
10,3.378618623045899,2.035241961669922,54.4,78.622
11,3.3462371541251192,1.8339394193267822,58.144,81.46
12,3.3079789916483713,1.7157324995422363,60.39,83.162
13,3.2867952131157776,1.653855661087036,61.614,84.122
14,3.266655285962575,1.6110968671417236,62.466,84.74
15,3.235884709752721,1.5676456092071533,63.418,85.254
16,3.2177133736945835,1.5275460944366455,64.178,85.71
17,3.1919143952721125,1.494317583694458,64.81,86.21
18,3.178543513627361,1.4689677470397948,65.14,86.58
19,3.1691007327309233,1.4474013386535645,65.692,86.862
20,3.1415469008002828,1.4347721025848388,65.906,87.148
21,3.132007793318644,1.415986211166382,66.312,87.396
22,3.1085743583935344,1.4022177732849122,66.622,87.566
23,3.1031095454161117,1.3918595559692384,66.924,87.752
24,3.079582605001738,1.3791149992370606,67.198,87.908
25,3.0797046497761964,1.3661859153747558,67.5,88.072
26,3.072860061360015,1.3523008517456054,67.788,88.238
27,3.0525098215285347,1.3388798021697998,68.162,88.422
28,3.039444009844157,1.3344682446289062,68.106,88.528
29,3.0187412554697453,1.3384856146240234,68.042,88.442
30,3.0121636640825433,1.330828157348633,68.248,88.598
31,3.0107624239677624,1.3255725803375245,68.344,88.73
32,2.9890325058469003,1.3119792135620116,68.662,88.78
33,2.988696909208092,1.30016412399292,68.888,88.916
34,2.9695939526474064,1.2904202909851075,69.16,89.046
35,2.969322815787592,1.2857874547576904,69.176,89.118
36,2.9502342170376856,1.2753736470794679,69.38,89.164
37,2.9454938330524545,1.2668733383178712,69.648,89.312
38,2.9418384979764145,1.263385583343506,69.84,89.406
39,2.9252088627369286,1.2577412607574463,69.924,89.526
40,2.9231058248608326,1.2536344464111329,69.928,89.564
41,2.9085594275110154,1.2440538555145264,70.104,89.734
42,2.9027475267291356,1.2375615760040284,70.364,89.778
43,2.900873302841644,1.2330410609436036,70.466,89.872
44,2.8859662604179506,1.2296139295196533,70.616,89.894
45,2.8828342974805334,1.225647356262207,70.584,89.928
46,2.8680141823564314,1.2224415929412842,70.638,89.978
47,2.8664201579982045,1.2205868264007569,70.708,90.03
48,2.8525290177594558,1.216398789291382,70.87,90.082
49,2.848237310763267,1.2124150228118897,70.906,90.052
50,2.8470790851221,1.2128397605514527,70.952,90.062
51,2.8337686191931617,1.2064535926437379,71.154,90.088
52,2.8331175563242033,1.2029924573516846,71.318,90.2
53,2.8176240966283825,1.197797066078186,71.338,90.312
54,2.816264045086029,1.191852293548584,71.438,90.388
55,2.81368909565379,1.1884469666290283,71.472,90.426
56,2.800854097786758,1.1862726132965087,71.57,90.42
57,2.7998230077094024,1.1838511316680909,71.752,90.496
58,2.7870892851377467,1.180145136833191,71.884,90.566
59,2.7849808734097925,1.1776279943084718,71.914,90.54
60,2.7750085501266804,1.1736478094863891,72.034,90.632
61,2.769527911615791,1.1726091379547119,72.0,90.606
62,2.770399842569106,1.1689250559234619,72.106,90.694
63,2.7569179626868117,1.1649868858718873,72.116,90.706
64,2.7552186043904743,1.1632765018463134,72.28,90.79
65,2.742554684194158,1.1599284175872804,72.324,90.796
66,2.7419737700840456,1.1562844387435913,72.33,90.862
67,2.741876273656444,1.154048579750061,72.41,90.818
68,2.727576536669148,1.150851148147583,72.472,90.97
