epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,6.916876501602521,6.9077748130798335,0.1,0.5
1,5.682786440296615,6.9115607728576665,0.1,0.5
2,4.633313027026651,6.960370350494385,0.1,0.5
3,4.148565340337517,7.069923892974853,0.102,0.51
4,3.8302246312633885,7.070889381256103,0.186,0.578
5,3.638361477785164,6.9209397686767575,0.322,1.18
6,3.5258602821569647,6.240696539459228,2.6,8.032
7,3.438650295174093,4.313706917419434,20.312,41.778
8,3.352508892972978,2.8306024827575684,40.96,66.754
9,3.3031890896393907,2.1603356048583984,52.102,76.75
10,3.2471406665160885,1.8343278784179688,57.86,81.21
11,3.2151434082779096,1.6663300231933593,60.986,83.636
12,3.173414969663445,1.5582503416442872,63.208,85.162
13,3.1477781385540675,1.4894279270935058,64.622,86.178
14,3.1282932507715446,1.4439560684204102,65.626,86.936
15,3.096251341555235,1.4143205055236816,66.266,87.294
16,3.078894924345634,1.3854027867126464,66.958,87.68
17,3.0516272806149307,1.3613196454620362,67.512,88.042
18,3.039084188515048,1.3417577444458009,67.906,88.198
19,3.028001911015057,1.320915457611084,68.33,88.508
20,3.002368204218211,1.302387652282715,68.808,88.742
21,2.9967830798132336,1.2917050985717773,69.092,88.832
22,2.9715520797206536,1.2786226442718507,69.462,89.026
23,2.9631889693552167,1.2688287310028077,69.52,89.174
24,2.943868554753365,1.2575339566040038,69.83,89.37
25,2.9380677929885097,1.2446008617401123,70.076,89.512
26,2.9294023041626054,1.2331781783294677,70.29,89.634
27,2.91023867850681,1.2268913656616212,70.474,89.776
28,2.906699090886364,1.219620827026367,70.558,89.88
29,2.887467568155101,1.2120794569396973,70.846,89.998
30,2.880993380678072,1.2026415493011475,71.126,90.148
31,2.8790562738426964,1.1955499884796144,71.238,90.236
32,2.8595610386747823,1.1897984169006348,71.344,90.27
33,2.8580680883569207,1.1849521453857421,71.494,90.338
34,2.842525756664032,1.1782019934844972,71.658,90.448
35,2.836399427706675,1.1715422297668456,71.742,90.512
36,2.820978014779796,1.165223575592041,71.762,90.618
37,2.8182015483804363,1.158457880859375,71.994,90.71
38,2.812911145549884,1.1530022621154785,72.012,90.768
39,2.7984832702018467,1.1482781372833253,72.21,90.818
40,2.7970720720138673,1.1462964701843261,72.328,90.85
41,2.7799571975053166,1.1409889404296876,72.45,90.882
42,2.780654952013426,1.135816748199463,72.474,91.004
43,2.7774983022233948,1.1334349907302856,72.564,90.976
44,2.7639524319189057,1.1283249140167235,72.748,91.102
45,2.7589729725123404,1.1220674450302124,72.938,91.112
46,2.743283720086995,1.118428333091736,72.942,91.146
47,2.7436884889404456,1.1161552633285523,73.008,91.176
48,2.729181806913478,1.113728410797119,73.036,91.16
49,2.7281336291707294,1.1104946887207032,73.06,91.262
50,2.726844095640617,1.1083934573364258,73.202,91.276
51,2.7118210749660463,1.1045347299194337,73.33,91.312
52,2.710436831656501,1.0991679762268067,73.364,91.464
53,2.6991458423227237,1.0956942918395995,73.546,91.522
54,2.695701846830565,1.092161874923706,73.588,91.49
55,2.6947326023611042,1.0889936351394653,73.622,91.544
56,2.6809613508381527,1.0853456640625,73.736,91.57
57,2.67875434826318,1.0825439237213135,73.842,91.544
58,2.666756137574224,1.0838898791885376,73.676,91.714
59,2.6638445321985667,1.0818104969024658,73.792,91.724
60,2.652389513359939,1.0780827191543578,73.91,91.706
61,2.653166562199688,1.074965118789673,73.984,91.748
62,2.649301690687474,1.0732576553344726,73.968,91.754
63,2.6361296836325496,1.0706082823181153,74.062,91.794
64,2.6351483886857494,1.0689568821334838,74.164,91.914
65,2.624862496039088,1.067745206336975,74.102,91.954
66,2.622946876511395,1.0650325880813598,74.158,91.98
67,2.622176872264091,1.0596192628479004,74.358,91.992
68,2.6127303314628265,1.0570123319244384,74.474,92.046
69,2.6086720333491966,1.0571729529571534,74.43,92.016
70,2.59730530838124,1.0546505079269408,74.546,92.052
71,2.596668368859066,1.0501307292938233,74.68,92.094
72,2.583904675442538,1.0475831366729735,74.712,92.042
73,2.580974042749138,1.04605807888031,74.756,92.154
74,2.5832421729128234,1.0448146530914306,74.764,92.184
75,2.570963070356398,1.0429848375701904,74.91,92.202
76,2.569268474094778,1.0408374187088012,74.896,92.192
77,2.558654325328571,1.038267413406372,74.88,92.312
78,2.5591055553117625,1.0370798197937012,74.83,92.308
79,2.5602104238373675,1.0344094922637939,74.942,92.32
80,2.5451520462687927,1.0317531895065308,75.094,92.354
81,2.545605047000684,1.0307767338180542,75.09,92.37
82,2.531971770034229,1.0273835041809083,75.196,92.428
83,2.5325444064361395,1.0260705867385864,75.134,92.438
84,2.521831622893671,1.0241932850265503,75.136,92.426
85,2.519181138796391,1.0233819264602662,75.218,92.472
86,2.520218437238277,1.0230185404205323,75.266,92.524
87,2.5098505052064155,1.0207436936569214,75.412,92.534
88,2.508397421772055,1.0182813330841065,75.516,92.578
89,2.498418965595041,1.016793229560852,75.598,92.622
90,2.4992526984519716,1.0150726179885865,75.558,92.63
91,2.496694232681863,1.0138422150421142,75.618,92.646
92,2.4883236920328544,1.0114657627868653,75.69,92.712
93,2.4863773161272924,1.009340289916992,75.762,92.744
94,2.4768993912650337,1.0079166750335693,75.714,92.752
95,2.476378161320202,1.0061614408493043,75.776,92.784
96,2.465018030217321,1.0036819065856935,75.794,92.814
97,2.464519884708307,1.0036845315551757,75.852,92.81
98,2.462161676584483,1.0052970574188231,75.806,92.766
99,2.4544675763276556,1.0034417180252075,75.74,92.836
100,2.4530538913729094,1.0017589443588257,75.802,92.88
101,2.4460395044274184,0.999642322845459,75.904,92.894
102,2.442144367096426,0.9981416524124146,76.01,92.9
103,2.4424592270363243,0.9970048274993897,76.074,92.876
104,2.433153759327819,0.9962060758209228,76.014,92.868
105,2.4323423920299034,0.9945330380630493,76.172,92.908
106,2.4237225766090464,0.9944218022537231,76.066,92.916
107,2.420654649118916,0.993983427772522,76.238,92.876
108,2.4143254845548303,0.9918547272491455,76.278,93.002
109,2.4104457313684726,0.9903048737335205,76.266,92.964
110,2.4134723942438,0.9887636959075927,76.408,92.93
111,2.403392277890258,0.987327731666565,76.43,92.942
112,2.3997808163114587,0.9865023595809936,76.384,93.02
113,2.3938435809694223,0.9853934568023681,76.48,93.068
114,2.392050032230685,0.9842030090332031,76.514,93.062
115,2.3913025608737404,0.9832396717453002,76.414,93.084
116,2.3819467912284398,0.9826135671234131,76.478,93.108
117,2.3805336985084935,0.9808842519760131,76.604,93.152
118,2.3746134440580624,0.9796077879333496,76.588,93.07
119,2.3696522307719925,0.9781023807907104,76.652,93.172
